submitted_at,full_name,id_number,email,phone,check_in,check_out,room_type,num_guests,purpose,organisation,accessibility,dietary,emergency_name,emergency_phone
2026-09-11T20:31:03,Bongani Tshabalala,0383907763432,u14731210@tuks.co.za,768982705,2026/09/19,2026/09/30,Single,3,Research,Student,Ground floor room,N/A,Musa Cele,825019254
2026-09-20T17:45:23,Mpho Nkosi,8502218291947,u13306849@tuks.co.za,742257012,2026/09/23,2026/10/13,Double,2,Internship,Student,Hearing assistance,N/A,Dineo Buthelezi,732473976
2026-09-10T19:13:33,Mpho Buthelezi,9598683751452,u11578846@tuks.co.za,786689658,2026/09/24,2026/09/30,Family,2,Work,Standard Bank,N/A,N/A,Zanele Nkosi,715163502
2026-09-20T04:46:34,Thabo Zulu,0680477904847,thabo112@outlook.com,715492160,2026/09/20,2026/10/10,Double,1,Conference,MTN,Ground floor room,Vegan,Thulani Mabaso,781925998
2026-09-23T05:29:03,Thulani Ngcobo,7162566158030,thulani28@outlook.com,843225936,2026/09/08,2026/09/15,Twin,2,Study,Student,N/A,N/A,Kagiso Radebe,744769540
2026-09-08T11:26:48,Nomvula Sithole,6989324267917,nomvula863@webmail.co.za,764285702,2026/09/11,2026/10/02,Single,2,Study,Student,N/A,N/A,Lindiwe Zulu,731563417
2026-09-22T10:30:50,Palesa Khumalo,5331797170047,palesa697@gmail.com,786618037,2026/09/13,2026/09/25,Single,1,Conference,Eskom,Ground floor room,N/A,Nomsa Buthelezi,731553644
2026-09-21T07:43:11,Naledi Mnguni,8404363097749,naledi327@outlook.com,748753577,2026/09/10,2026/09/28,Twin,2,Research,Sasol,Wheelchair access,N/A,Rethabile Sithole,782788768
2026-09-07T05:10:19,Mandla Ngcobo,2109014760620,u16749806@tuks.co.za,826141122,2026/09/24,2026/10/08,No preference,2,Research,Sasol,N/A,Vegan,Onthatile Dlamini,828049478
2026-09-23T02:37:41,Nomvula Gumede,7206633997027,nomvula4@outlook.com,836821688,2026/09/28,2026/10/01,No preference,3,Work,University of Johannesburg,Hearing assistance,Halal,Nthabiseng Buthelezi,792038735
2026-09-08T21:33:39,Nomvula Cele,0287350762233,nomvula705@yahoo.com,712547320,2026/09/16,2026/09/17,Single,1,Research,Nedbank,Hearing assistance,Noodles,Thabo Mthembu,745275457
2026-09-15T02:11:33,Precious Mokoena,6431278946077,u11843610@tuks.co.za,841079817,2026/09/13,2026/09/26,Double,1,Conference,Sasol,Hearing assistance,Halal,Bongani Gumede,748857956
2026-09-19T20:30:54,Sanele Mokoena,4102096552054,sanele35@gmail.com,793984378,2026/09/28,2026/10/11,Family,2,Research,Eskom,Wheelchair access,Gluten-free,Thabo Sithole,842581110
2026-09-18T22:48:39,Mpho Mahlangu,6549004094989,u15912668@tuks.co.za,722750474,2026/09/14,2026/10/03,Single,1,Conference,Nedbank,Hearing assistance,Noodles,Sipho Mahlangu,789281111
2026-09-17T14:49:06,Sipho Mokwena,2625151971688,sipho367@tuks.co.za,711222566,2026/09/18,2026/10/01,No preference,2,Research,Eskom,Wheelchair access,Gluten-free,Palesa Nkosi,716511709
2026-09-18T02:03:39,Sthembiso Mthembu,1885144281503,sthembiso288@outlook.com,836523645,2026/09/08,2026/09/09,Double,3,Conference,Nedbank,Ground floor room,Noodles,Nomsa Tshabalala,841513033
2026-09-24T14:15:41,Andile Mokwena,1144697301163,andile523@tuks.co.za,848028268,2026/09/30,2026/10/07,Double,2,Work,Freelance,N/A,Gluten-free,Musa Khumalo,838390781
2026-09-07T19:32:28,Andile Zulu,2905495809985,u17035910@tuks.co.za,739100746,2026/09/11,2026/10/01,Double,2,Work,University of Johannesburg,N/A,Chicken & Pap,Palesa Cele,722550800
2026-09-27T10:13:21,Thulani Sithole,1709820023764,u15335138@tuks.co.za,723675027,2026/09/18,2026/09/30,Twin,1,Conference,University of Johannesburg,N/A,N/A,Rethabile Mokwena,734739553
2026-09-15T03:41:32,Mandla Mthembu,9614116485689,u10459021@tuks.co.za,725435449,2026/09/30,2026/10/21,Twin,1,Conference,Discovery,Hearing assistance,Vegetarian,Palesa Tshabalala,789998945
2026-09-15T09:47:12,Naledi Ndlovu,8879463714016,naledi367@yahoo.com,833386129,2026/09/26,2026/10/07,Twin,1,Internship,Discovery,Ground floor room,Vegetarian,Xolani Zulu,769912317
2026-09-12T17:31:34,Sizwe Mokwena,3303423191712,sizwe472@webmail.co.za,746928001,2026/09/29,2026/10/12,Single,1,Study,Freelance,N/A,Vegan,Ayanda Gumede,833633637
2026-09-11T06:13:18,Andile Mabaso,1719946468457,andile50@outlook.com,788305359,2026/09/24,2026/10/01,Single,2,Study,Standard Bank,N/A,Halal,Rethabile Tshabalala,767832802
